ts,cycle,side,status,entryPrice,exitPrice,qty,bps,pnl,feeUsdt,pnlNet,exitReason,holdSec,msg
2026-08-22T12:31:42Z,100,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.9,0,
2026-08-22T12:31:45Z,101,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.9,0,
2026-08-22T12:31:47Z,102,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.1,0,
2026-08-22T12:31:50Z,103,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.1,0,
2026-08-22T12:31:53Z,104,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.1,0,
2026-08-22T12:31:58Z,105,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T12:32:01Z,106,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=5.4,0,
2026-08-22T12:32:04Z,107,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.5,0,
2026-08-22T12:32:07Z,108,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.5,0,
2026-08-22T12:32:09Z,109,SKIP,SKIPPED,,,,,0,,,reason=momentum_too_low conf=0.0 mom=0.0000 spread=3.5,0,
