run,ts,cycle,unit,side,entryPrice,exitPrice,qty,bps,pnl,exitReason,hold_sec,entry_heure,exit_heure
Run_V2,2026-08-14T19:22:26Z,1156,BETA_X5,SELL,62823.10000000,62823.10000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,19:22:19,19:22:25
Run_V2,2026-08-14T19:23:38Z,1163,BETA_X5,SELL,62821.90000000,62833.80000000,0.01540000,-1.89424389,-0.18326000,shock_inversion_stop,9,19:23:28,19:23:38
Run_V2,2026-08-14T19:24:06Z,1165,BETA_X5,SELL,62843.80000000,62843.80000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,19:24:00,19:24:06
Run_V2,2026-08-14T19:25:39Z,1175,BETA_X5,SELL,62845.90000000,62846.40000000,0.00470000,-0.07955968,-0.00235000,shock_inversion_stop,7,19:25:32,19:25:39
Run_V2,2026-08-14T19:26:29Z,1180,BETA_X5,SELL,62855.30000000,62850.10000000,0.00760000,0.82729698,0.03952000,shock_inversion_stop,5,19:26:23,19:26:29
Run_V2,2026-08-14T19:28:38Z,1195,BETA_X5,SELL,62859.20000000,62859.20000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,6,19:28:32,19:28:38
Run_V2,2026-08-14T19:29:05Z,1197,BETA_X5,SELL,62859.20000000,62859.20000000,0.00470000,-0.00000000,-0.00000000,shock_inversion_stop,5,19:28:59,19:29:04
Run_V2,2026-08-14T19:29:40Z,1199,BETA_X5,SELL,62859.20000000,62859.20000000,0.00470000,-0.00000000,-0.00000000,fluid_exit_inversion,9,19:29:31,19:29:40
Run_V2,2026-08-14T19:30:24Z,1203,BETA_X5,SELL,62859.20000000,62859.20000000,0.00940000,-0.00000000,-0.00000000,shock_inversion_stop,5,19:30:18,19:30:23
Run_V2,2026-08-14T19:31:46Z,1212,BETA_X5,SELL,62859.20000000,62859.20000000,0.00940000,-0.00000000,-0.00000000,shock_inversion_stop,5,19:31:40,19:31:45
Run_V2,2026-08-14T19:35:45Z,1225,BETA_X5,SELL,62864.70000000,62859.20000000,0.00940000,0.87489481,0.05170000,kill_switch,2,19:35:43,19:35:45
Run_V2,2026-08-14T19:40:37Z,32,BETA_X5,SELL,62883.20000000,62883.20000000,0.00940000,-0.00000000,-0.00000000,shock_inversion_stop,6,19:40:31,19:40:37
