ts,run_id,unit,cycle,symbol,bid,ask,mid,spread_bps,momentum_bps,regime,decision,side,confidence,reason
15:38:42,ACE_DUO_CLEAN_V3_15M,ALPHA,20,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:38:48,ACE_DUO_CLEAN_V3_15M,BETA,38,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.073,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.08760669
15:38:50,ACE_DUO_CLEAN_V3_15M,ALPHA,21,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.0728,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.08738806
15:38:53,ACE_DUO_CLEAN_V3_15M,BETA,39,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:38:55,ACE_DUO_CLEAN_V3_15M,ALPHA,22,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=7e-06
15:38:58,ACE_DUO_CLEAN_V3_15M,BETA,40,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:39:03,ACE_DUO_CLEAN_V3_15M,ALPHA,23,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,0.1729,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.20752988
15:39:03,ACE_DUO_CLEAN_V3_15M,BETA,41,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:39:08,ACE_DUO_CLEAN_V3_15M,ALPHA,24,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
15:39:08,ACE_DUO_CLEAN_V3_15M,BETA,42,BTCUSDT,,,,,,ENGINE_LOG,SKIP,,,engine_log:ACE_DUO_CLEAN_V3_15M_LIVE_COLOR.log;tension=0.0
